<start> <start> <start> <start> a b c d e f g d
<start> <start> <start> <start> a c d f g b b e
<start> <start> <start> <start> c c d f a g b g
<start> <start> <start> <start> b b c d f a b c
<start> <start> <start> <start> a b c d f a g b
<start> <start> <start> <start> b b c d f a b c
<start> <start> <start> <start> c f a b g g d a
<start> <start> <start> <start> c a c a c a b b 
<start> <start> <start> <start> b b c d f a b c
<start> <start> <start> <start> g f f f a b d c
<start> <start> <start> <start> c c d f a g b b
<start> <start> <start> <start> b b c d f a b c
<start> <start> <start> <start> g f f f a b d c
<start> <start> <start> <start> b b c d f a b c
<start> <start> <start> <start> b b c d f a b c
